iter	RMSE
0	0.8075309522
1	0.7713011697
2	0.7392364885
3	0.7121284731
4	0.6895942679
5	0.669263867666	0.652218482777	0.6371267498
8	0.6237960533
9	0.6129069022
10	0.6034965307
11	0.5949234912
12	0.5881475874
13	0.5820260441414	0.5762024481515	0.5710559281
16	0.5664855877
17	0.5618865568
18	0.5577569875
19	0.5545031896
20	0.5511049483
21	0.5485566838
22	0.5460807458
23	0.5441654016
24	0.5421848484
25	0.5403153727
26	0.5387685631
27	0.5375077426
28	0.5360810188
29	0.5348595226
30	0.5337520363131	0.5326193243232	0.53158100333	0.5273291169
334	0.5295607932335	0.528858549436	0.5249574852337	0.5273772083338	0.526775664339	0.525739472640	0.5256488027
41	0.5251884876
42	0.524665636
43	0.5238639712
44	0.5234042357
45	45	0.5191746	0.546	0.5187260926
47	0.518153516
48	0.51763549	0.49	0.517305017
50	0.5169101217
51	0.5165232567
52	0.516045553	053	0.515468654	054	0.515027855	555	0.514630156	56	0.5143322057	57	0.5141138058558	0.5136940059559	0.5134725060660	0.5131989861	61	0.5129312662	62	0.5124741163663	0.5120864364	0.5134275578
6565	0.51357882966	0.5126309978
67	0.5122778492
68	0.511906637
69	0.5116309939
770	0.5118165264
71	0.5114537344
72	0.511167083
7373	0.73	0.50877474	0.5081011775	0.5097566043
76	0.5092103977
77	0.508809876
78	78	0.5064737179	0.5081409167
80	0.5078300318
81	0.5075567919
82	0.5072111121
83	0.5069202094
884	0.5050291063
85	0.5044225585886	0.5039878562
87	0.5035985726888	0.5033535892889	0.5031318606990	0.502912357
91	0.5026103735
92	0.5044613842
93	0.50218297594	0.5038256228
95	0.503649946
96	0.5033822698
97	0.5031990817
98	0.5028790902
99	0.502736106
100	0.5024877471
101	0.5021490242
102	0.501727573
103	0.5013915303
104	0.5011729018
105	0.5009076113
106	0.5006836875
107	0.5004926629
108	0.5002837519
109	0.4998251214
110	0.4995086288
111	0.4992268438
112	0.4991055287
113	0.4989568761
114	0.4988220684
115	0.4985325109
116	0.4983854538
117	0.4982805473
118	0.4981630688
119	0.4980098
120	0.4978508632
121	0.4977061376
122	0.4973745499
123	0.4971785622
124	0.4969138146
125	0.4967089817
126	0.4964396089
127	0.4961436737
128	0.4959744992
129	0.4957780874
130	0.4954884196
131	0.4953025576
132	0.4950229241
133	0.4948512684
134	0.494809422
135	0.4945234349
136	0.4943422811
137	0.4941492875
138	0.4939867063
139	0.4935853102
140	0.4935469155
141	0.4933673232
142	0.4931631293
143	0.4928507956
144	0.4927038164
145	0.4925216096
146	0.492275758
147	0.4920395397
148	0.491752996
149	0.4916820968
150	0.4915264104
151	0.4913790748
152	0.4911829016
153	0.4909420264
154	0.4907710937
155	0.4905995952
156	0.4904728577
157	0.4902428671
158	0.4900913391
159	0.490034233
160	0.4898207234
161	0.4896399228
162	0.4894856525
163	0.4892725374
164	0.4890758266
165	0.488850257
166	0.4886395397
167	0.4884176517
168	0.4882451656
16169	0.49097688170	0.4879027591
171171	0.490685172	0172	0.490630173	0.4873613881
174	0.4870753386
175	0.4869584048
176	0176	0.490011177	0177	0.489781178	0178	0.489666179	0179	0.489491180	0180	0.489322181	0.4860107746
182	0.4858463053
