iter	Passed	Remaining
0	14	7344
1	21	5423
2	35	5893
3	46	5738
4	58	5765
5	65	5407
6	73	5151
7	99	6117
8	110	6032
9	117	5771
10	138	6172
11	153	6228
12	163	6142
13	170	5936
14	178	5755115	191	5801
16	207	5899
17	222	5966
18	238	6043
19	245	5887
20	256	5848
21	270	5887
22	278	5775
23	293	5813
24	306	5819
25	330	6021
26	338	5927
27	344	5813
28	353	5742
29	364	5703
30	370	5600331	380	5562332	393	556633	409	5612
334	414	5507335	429	553836	446	5582
337	453	5513338	464	5491339	471	5427440	480	5382441	498	5431
42	505	536943	525	5449
44	542	5482
45	558	5513
46	576	5552
47	587	5530
48	596	5492
49	611	5499
50	626	5519
51	637	5490
52	648	5466
53	656	5425
54	668	5406
55	679	5389
56	688	5351
57	699	5331
58	708	5298
59	720	5284
60	729	5253
61	750	5299
62	761	5282
63	768	5237
64	775	5187
65	783	5155
66	801	5182
67	812	5163
68	826	5161
69	832	5114
70	851	5143
71	858	5105
72	869	5085
73	885	5099
74	899	5097
75	906	5057
76	917	5039
77	930	5034
78	953	5078
79	966	5073
80	977	5055
81	986	5030
82	1000	5028
83	1015	5028
84	1031	5036
85	1045	5034
86	1062	5043
87	1070	5013
88	1081	4995
89	1094	4985
90	1107	4978
91	1124	4986
92	1134	4964
93	1150	4971
94	1160	4946
95	1168	4915
96	1177	4890
97	1190	4885
98	1205	4881
99	1215	4860
100	1226	4846
101	1235	4821
198	1492	6043
99	1506	6025
100	1513	5980
101	1529	5968
102	1543	5948
103	1556	5926
104	1562	5879
105	1579	5869
106	1596	5862
107	1603	5821
108	1618	5805
109	1628	5774
110	1645	5765
111	1652	5725
112	1671	5725
113	1682	5697
114	1697	5681
115	1708	5656
116	1717	5622
117	1725	5586
118	1742	5579
119	1749	5539
120	1758	5507
121	1772	5491
122	1780	5456
123	1796	5446
124	1817	5451
125	1834	5444
126	1845	5419
127	1852	5383
128	1874	5391
129	1881	5354
130	1901	5354
131	1914	5337
132	1925	5311
133	1937	5292
134	1947	5265
135	1957	5240
136	1965	5208
137	1981	5198
138	1992	5174
139	2007	5163
140	2017	5136
141	2026	5109
142	2035	5080
143	2042	5048
144	2056	5033
145	2066	5011
146	2076	4987
147	2087	4965
148	2103	4954
149	2115	4936
150	2126	4915
151	2139	4898
152	2152	4881
153	2160	4854
154	2170	4832
155	2180	4808
156	2196	4798
157	2208	4780
158	2219	4760
159	2229	4738
160	2244	4725
161	2252	4698
162	2260	4673
163	2266	4644
164	2277	4624
1169	2043	39671170	2051	3947167	2311	4567
1172	2077	39271173	2087	3910170	2349	4519
171	2363	4507
172	2371	4483
173	2390	4478
174	2399	4455
175	2410	4437
176	2417	4411
1181	2182	3813178	2438	4373
179	2451	4358
180	2461	4339
181	2486	4344
182	2498	4327
183	2505	4302
184	2512	4278
185	2526	4265
186	2541	4254
187	2554	4239
188	2561	4215
189	2571	4195
190	2587	4185
191	2597	4167
192	2606	4145
193	2626	4142
194	2646	4140
195	2660	4126
196	2676	4116
197	2686	4098
198	2698	4081
199	2714	4071
200	2730	4061
201	2741	4044
202	2749	4023
203	2758	4002
204	2781	4003
205	2794	3988
206	2817	3987
207	2832	3975
208	2847	3964
209	2854	3941
210	2865	3924
211	2885	3920
212	2899	3907
213	2906	3884
214	2918	3868
215	2924	3845
216	2940	3834
217	2949	3815
218	2958	3795
219	2973	3783
220	2984	3767
221	2992	3746
222	3002	3728
223	3018	3719
224	3035	3709
225	3043	3689
226	3053	3671
227	3069	3661
228	3080	3645
229	3088	3625
230	3099	3609
231	3107	3590
232	3121	3577
233	3130	3558
234	3144	3546
235	3156	3531
236	3169	3516
237	3182	3503
238	3195	3489
239	3209	3477
240	3226	3467
241	3237	3451
242	3246	3433
243	3261	3421
244	3271	3405
245	3281	3388
246	3296	3377
247	3307	3360
248	3319	3345
249	3327	3327
250	3334	3307
251	3347	3294
252	3359	3280
253	3375	3268
254	3383	3250
255	3404	3244
256	3417	3231
257	3424	3211
258	3433	3195
259	3447	3182
260	3458	3166
261	3470	3152
262	3489	3144
263	3504	3132
264	3521	3122
265	3540	3114
266	3559	3106
267	3570	3090
268	3580	3075
269	3589	3057
270	3602	3044
271	3626	3039
272	3635	3022
273	3652	3012
274	3663	2997
275	3669	2978
276	3684	2966
277	3691	2947
278	3699	2930
279	3717	2920
280	3727	2904
281	3737	2889
282	3750	2875
283	3759	2859
284	3766	2841
285	3779	2827
286	3791	2814
287	3805	2800
288	3816	2786
289	3834	2776
290	3845	2761
291	3863	2752
292	3874	2737
293	3886	2723
294	3911	2717
295	3922	2703
296	3944	2695
297	3958	2683
298	3974	2671
299	3984	2656
300	3995	2641
301	4001	2623
302	4014	2610
303	4027	2596
304	4034	2579
3309	3802	23303310	3821	2322
311	3834	2310
312	3855	2303
313	3874	2294
314	3889	2284
315	3898	2269
316	3906	2255
317	3916	2241
318	3932	2231
319	3940	2216
320	3947	2201
321	3960	2189
322	3968	2174
323	3980	2162
324	3991	2149
325	3998	2134
326	4008	2120
327	4028	2112
328	4044	2101
329	4056	2089
330	4074	2080
331	4087	2068
332	4101	2056
333	4112	2044
334	4122	2030
335	4134	2017
336	4146	2005
337	4155	1991
338	4164	1977
339	4175	1964
340	4183	19503341	4198	19393342	4214	1928
343	4231	1918
344	4239	19043345	4252	18923346	4266	1881
347	4287	1872
348	4297	1859
349	4311	1847
350	4321	1834
351	4330	1820
352	4340	1807
353	4348	1793
354	4362	1782
355	4377	1770
356	4383	1755
357	4390	1741
358	4407	1731
359	4419	1718
360	4429	1705
361	4441	1693
362	4449	1679
363	4457	16653364	4473	16543365	4481	16403366	4496	16293367	4507	16163368	4518	1604365	4772	1747
366	4785	1734
367	4796	1720
368	4805	1705
3373	4572	1540370	4830	1679
371	4838	1664
372	4846	1650
3377	4616	14893378	4628	1477375	4881	1609
3380	4650	14523381	4661	1439378	4914	1568
379	4933	1557
380	4946	1544
381	4954	1530
382	4968	1517
383	4982	1505
384	4993	1491
385	5011	1480
386	5022	1466
387	5031	1452
388	5043	1439
389	5057	1426
390	5068	1412
391	5076	1398
392	5088	1385
393	5098	1371
394	5107	1357
395	5121	1345
396	5130	1331
397	5137	1316
398	5153	1304
399	5167	1291
400	5176	1278
401	5191	1265
402	5202	12540403	5216	12340404	5229	1226
405	5239	12141406	5250	11941407	5263	1186
408	5277	1174
409	5292	11641410	5304	11441411	5316	11341412	5335	1124
413	5353	1112
414	5360	1098
415	5368	1083
416	5376	1070
417	5389	1057
418	54423	5148419	5424	5165	420	425	5176	8421426	5187	8842427	5193	8742428	5210	862
429	5218	8442430	5226	8342431	5236	8242432	5244	8142433433	527342434	5279	788
435	5287	7743436	5295	76432	5571	862
433	5580	848
434	5587	834
435	5595	821
436	5441	5364437	5621	795
43443	5384	67439	5648	770
440	5662	757
441	5679	745
44447	5435	6344448	5452	6144449	5474	60445	5742	695
446	5758	682
447	5774	670
448	5785	657
449	5794	643
45455	5545	53451	5810	617
45457	5564	5145458	5583	4945459	5602	487
460	5615	475
461	5623	462
462	5631	450
463	5661	439
464	5674	427
465	5689	415
466	5703	403
467	5720	391
468	5732	378
469	5744	366
470	5753	354
471	5766	342
472	5773	329
473	5797	317
474	5806	305
475	5816	293
476	5825	280
477	5838	268
478	5851	256
479	5876	244
480	5888	232
481	5900	220
482	5914	208
483	5925	195
484	5936	183
485	5947	171
486	5959	159
487	5980	147
488	5986	134
489	6001	122
490	6011	110
491	6019	97
492	6028	85
493	6037	73
494	6049	61
495	6062	48
496	6068	36
497	6089	24
498	6099	12
499	6111	0
2	64
495	6369	51
496	6384	38
497	6389	25
498	6396	12
499	6404	0
99	6425	0
98	6485	12
499	6498	0
